Age,Age levels,BusinessTravel,Department,JobRole,Job Level,Satisfication,Consistency,Managers cosnsistency,Experience,Salary Range (K),EducationField,Gender,Distance to Home,OverTime,WLB,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,TrainingTimesLastYear,DailyRate,PerformanceRating,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,HourlyRate,JobInvolvement,JobLevel,MonthlyRate
35,thirteenth,Travel Rarely,Sales,Sales Representative,Level 1,High,0 to 5,0 to 5,Intermediate,1 to 5,Marketing,Female,Very Close,No,Balanced,"$2,014",1,13,3,890,3,2,2,2,2,2,97,3,1,9687
36,thirteenth,Travel Rarely,Research & Dev.,Research Scientist,Level 1,Miduem,0 to 5,0 to 5,Experienced,1 to 5,Life Sciences,Female,Very Close,Yes,Balanced,"$3,419",9,14,3,852,3,6,1,1,0,0,82,2,1,13072
33,thirteenth,Travel Frequently,Sales,Sales Executive,Level 2,Miduem,0 to 5,0 to 5,Advanced,5 to 10,Life Sciences,Female,Very Close,No,Balanced,"$5,376",2,19,3,1141,3,10,5,3,1,3,42,4,2,3193
35,thirteenth,Travel Rarely,Research & Dev.,Laboratory Technician,Level 1,Miduem,0 to 5,0 to 5,Entry,1 to 5,Other,Male,Very Close,No,Balanced,"$1,951",1,12,3,464,3,1,1,0,0,0,75,3,1,10910
27,twenteth,Travel Rarely,Research & Dev.,Laboratory Technician,Level 1,High,0 to 5,0 to 5,Entry,1 to 5,Life Sciences,Female,Very Close,No,Balanced,"$2,341",1,13,6,1240,3,1,1,0,0,0,33,3,1,19715
26,twenteth,Travel Rarely,Research & Dev.,Laboratory Technician,Level 1,Low,0 to 5,0 to 5,Entry,1 to 5,Life Sciences,Male,Far,No,Not Balanced,"$2,293",1,12,2,1357,3,1,1,0,0,1,48,1,1,10558
27,twenteth,Travel Frequently,Sales,Sales Executive,Level 3,High,6 to 10,6 to 10,Experienced,5 to 10,Life Sciences,Male,Very Close,No,Balanced,"$8,726",1,15,0,994,3,9,9,8,1,7,37,3,3,2975
30,thirteenth,Travel Frequently,Research & Dev.,Laboratory Technician,Level 2,Miduem,11 to 20,6 to 10,Advanced,1 to 5,Medical,Female,Very Close,No,Balanced,"$4,011",1,23,2,721,4,12,12,8,3,7,58,3,2,10781
41,fourteenth,Travel Rarely,Research & Dev.,Research Director,Level 5,Miduem,21 to 30,6 to 10,Expert,15 to 20,Technical Degree,Female,Close,No,Balanced,"$19,545",1,12,0,1360,3,23,22,15,15,8,49,3,5,16280
34,thirteenth,Non-Travel,Sales,Sales Executive,Level 2,Miduem,6 to 10,6 to 10,Advanced,1 to 5,Marketing,Male,Far,No,Balanced,"$4,568",0,20,2,1065,4,10,9,5,8,7,72,3,2,10034
37,thirteenth,Travel Rarely,Research & Dev.,Research Scientist,Level 1,Miduem,0 to 5,0 to 5,Experienced,1 to 5,Life Sciences,Male,Close,No,Balanced,"$3,022",4,21,1,408,4,8,1,0,0,0,73,3,1,10227
46,fourteenth,Travel Frequently,Sales,Sales Executive,Level 2,Low,6 to 10,6 to 10,Advanced,5 to 10,Marketing,Male,Very Close,Yes,Balanced,"$5,772",4,21,4,1211,4,14,9,6,0,8,98,3,2,20445
35,thirteenth,Travel Rarely,Research & Dev.,Laboratory Technician,Level 1,High,0 to 5,0 to 5,Entry,1 to 5,Life Sciences,Male,Very Close,No,Balanced,"$2,269",1,19,2,1229,3,1,1,0,0,1,36,4,1,4892
48,fourteenth,Travel Rarely,Research & Dev.,Laboratory Technician,Level 3,Low,0 to 5,0 to 5,Expert,5 to 10,Life Sciences,Male,Very Close,Yes,Balanced,"$5,381",9,13,2,626,3,23,1,0,0,0,98,2,3,19294
28,twenteth,Travel Rarely,Research & Dev.,Laboratory Technician,Level 1,Miduem,0 to 5,0 to 5,Intermediate,1 to 5,Technical Degree,Male,Very Close,Yes,Not Balanced,"$3,441",1,13,3,1434,3,2,2,2,2,2,50,3,1,11179
44,fourteenth,Travel Rarely,Sales,Sales Executive,Level 2,Miduem,0 to 5,0 to 5,Experienced,5 to 10,Marketing,Female,Very Close,Yes,Not Balanced,"$5,454",5,21,2,1488,4,9,4,3,1,3,75,3,2,4009
35,thirteenth,Non-Travel,Research & Dev.,Healthcare Representative,Level 3,Miduem,0 to 5,0 to 5,Advanced,5 to 10,Medical,Male,Close,Yes,Balanced,"$9,884",2,13,3,1097,3,10,4,0,2,3,79,2,3,8302
26,twenteth,Travel Rarely,Sales,Sales Executive,Level 2,Miduem,0 to 5,0 to 5,Experienced,1 to 5,Marketing,Female,Far,Yes,Not Balanced,"$4,157",7,19,2,1443,3,5,2,2,0,0,47,2,2,21436
33,thirteenth,Travel Frequently,Research & Dev.,Research Director,Level 3,Low,11 to 20,11 to 20,Advanced,10 to 15,Life Sciences,Female,Very Close,Yes,Balanced,"$13,458",1,12,1,515,3,15,15,14,8,12,98,3,3,15146
35,thirteenth,Travel Frequently,Sales,Sales Executive,Level 3,Miduem,6 to 10,6 to 10,Experienced,5 to 10,Life Sciences,Male,Close,No,Not Balanced,"$9,069",1,22,3,853,4,9,9,8,1,8,71,3,3,11031
35,thirteenth,Travel Rarely,Research & Dev.,Laboratory Technician,Level 1,Miduem,0 to 5,0 to 5,Intermediate,1 to 5,Medical,Female,Far,Yes,Balanced,"$4,014",3,15,3,1142,3,4,2,2,2,2,30,3,1,16002
31,thirteenth,Travel Rarely,Research & Dev.,Laboratory Technician,Level 2,High,6 to 10,6 to 10,Advanced,5 to 10,Life Sciences,Male,Very Close,No,Not Balanced,"$5,915",3,22,3,655,4,10,7,7,1,7,48,3,2,9528
37,thirteenth,Travel Rarely,Research & Dev.,Manufacturing Director,Level 2,Low,6 to 10,6 to 10,Experienced,5 to 10,Life Sciences,Male,Very Close,No,Balanced,"$5,993",1,18,2,1115,3,7,7,5,0,7,51,2,2,2689
32,thirteenth,Travel Rarely,Research & Dev.,Manufacturing Director,Level 2,Low,6 to 10,6 to 10,Experienced,5 to 10,Medical,Male,Very Close,Yes,Balanced,"$6,162",1,22,3,427,4,9,9,8,7,8,33,3,2,10877
38,thirteenth,Travel Frequently,Research & Dev.,Laboratory Technician,Level 2,High,6 to 10,6 to 10,Advanced,1 to 5,Life Sciences,Female,Far,No,Balanced,"$2,406",1,11,2,653,3,10,10,3,9,9,50,3,2,5456
50,fifteenth,Travel Rarely,Research & Dev.,Research Director,Level 5,Miduem,21 to 30,6 to 10,Expert,15 to 20,Medical,Female,Very Close,Yes,Not Balanced,"$18,740",5,12,2,989,3,29,27,3,13,8,43,2,5,16701
59,fifteenth,Travel Rarely,Sales,Sales Executive,Level 3,Low,21 to 30,6 to 10,Expert,5 to 10,Life Sciences,Female,Far,No,Not Balanced,"$7,637",7,11,3,1435,3,28,21,16,7,9,99,3,3,2354
36,thirteenth,Travel Rarely,Research & Dev.,Healthcare Representative,Level 3,Miduem,11 to 20,6 to 10,Advanced,10 to 15,Technical Degree,Female,Very Close,No,Balanced,"$10,096",1,13,2,1223,3,17,17,14,12,8,59,3,3,8202
55,fifteenth,Travel Rarely,Research & Dev.,Manager,Level 4,High,0 to 5,0 to 5,Expert,10 to 15,Medical,Female,Very Close,Yes,Balanced,"$14,756",2,14,2,836,3,21,5,0,0,2,33,3,4,19730
36,thirteenth,Travel Frequently,Research & Dev.,Manufacturing Director,Level 2,Miduem,6 to 10,0 to 5,Experienced,5 to 10,Life Sciences,Male,Close,No,Balanced,"$6,499",1,13,3,1195,3,6,6,5,0,3,95,2,2,22656
45,fourteenth,Travel Rarely,Research & Dev.,Research Scientist,Level 3,Miduem,0 to 5,0 to 5,Expert,5 to 10,Life Sciences,Male,Very Close,No,Balanced,"$9,724",2,17,2,1339,3,25,1,0,0,0,59,3,3,18787
35,thirteenth,Travel Frequently,Research & Dev.,Research Scientist,Level 1,Miduem,0 to 5,0 to 5,Experienced,1 to 5,Medical,Male,Very Close,No,Not Balanced,"$2,194",4,13,2,664,3,5,3,2,1,2,79,3,1,5868
36,thirteenth,Travel Rarely,Research & Dev.,Research Scientist,Level 1,High,0 to 5,0 to 5,Intermediate,1 to 5,Medical,Male,Very Close,Yes,Not Balanced,"$3,388",0,17,0,318,3,2,1,0,0,0,79,2,1,21777
59,fifteenth,Travel Frequently,Sales,Sales Executive,Level 2,Low,0 to 5,0 to 5,Expert,5 to 10,Life Sciences,Female,Very Close,No,Not Balanced,"$5,473",7,11,2,1225,3,20,4,3,1,3,57,2,2,24668
29,twenteth,Travel Rarely,Research & Dev.,Research Scientist,Level 1,Miduem,0 to 5,0 to 5,Experienced,1 to 5,Life Sciences,Male,Very Close,No,Balanced,"$2,703",0,23,3,1328,4,6,5,4,0,4,76,3,1,4956
31,thirteenth,Travel Rarely,Research & Dev.,Research Scientist,Level 1,Miduem,0 to 5,0 to 5,Entry,1 to 5,Medical,Male,Very Close,No,Balanced,"$2,501",1,17,4,1082,3,1,1,1,1,0,87,3,1,18775
32,thirteenth,Travel Rarely,Research & Dev.,Research Scientist,Level 2,Miduem,6 to 10,6 to 10,Advanced,5 to 10,Life Sciences,Male,Very Close,No,Balanced,"$6,220",1,17,3,548,3,10,10,4,0,9,66,3,2,7346
36,thirteenth,Travel Rarely,Research & Dev.,Laboratory Technician,Level 1,Miduem,0 to 5,0 to 5,Experienced,1 to 5,Life Sciences,Female,Very Close,No,Balanced,"$3,038",3,12,3,132,3,5,1,0,0,0,55,4,1,22002
31,thirteenth,Travel Rarely,Research & Dev.,Manufacturing Director,Level 2,Miduem,11 to 20,6 to 10,Advanced,1 to 5,Life Sciences,Female,Very Close,No,Balanced,"$4,424",1,23,2,746,4,11,11,7,1,8,61,3,2,20682
35,thirteenth,Travel Rarely,Sales,Sales Executive,Level 2,Miduem,11 to 20,6 to 10,Advanced,1 to 5,Marketing,Male,Very Close,No,Balanced,"$4,312",0,14,2,776,3,16,15,13,2,8,32,2,2,23016
45,fourteenth,Travel Rarely,Research & Dev.,Research Director,Level 3,High,0 to 5,0 to 5,Advanced,10 to 15,Other,Male,Very Close,Yes,Balanced,"$13,245",4,14,3,193,3,17,0,0,0,0,52,3,3,15067
37,thirteenth,Travel Rarely,Research & Dev.,Research Director,Level 3,Low,0 to 5,0 to 5,Advanced,10 to 15,Medical,Male,Very Close,No,Balanced,"$13,664",4,13,3,397,3,16,5,2,0,2,30,3,3,25258
46,fourteenth,Travel Rarely,HR,Human Resources,Level 2,Miduem,0 to 5,0 to 5,Advanced,5 to 10,Medical,Male,Very Close,Yes,Balanced,"$5,021",8,22,2,945,4,16,4,2,0,2,80,3,2,10425
30,thirteenth,Travel Rarely,Research & Dev.,Laboratory Technician,Level 2,High,6 to 10,0 to 5,Advanced,5 to 10,Life Sciences,Male,Very Close,Yes,Not Balanced,"$5,126",1,12,1,852,3,10,10,8,3,0,55,2,2,15998
35,thirteenth,Travel Rarely,Research & Dev.,Research Scientist,Level 1,Miduem,6 to 10,0 to 5,Experienced,1 to 5,Medical,Male,Very Close,No,Balanced,"$2,859",1,18,3,1214,3,6,6,4,0,4,30,2,1,26278
55,fifteenth,Travel Rarely,Sales,Sales Executive,Level 3,Low,0 to 5,0 to 5,Expert,10 to 15,Life Sciences,Male,Very Close,No,Balanced,"$10,239",3,14,4,111,3,24,1,0,1,0,70,3,3,18092
38,thirteenth,Non-Travel,Research & Dev.,Research Scientist,Level 2,Miduem,11 to 20,6 to 10,Advanced,5 to 10,Medical,Female,Very Close,Yes,Balanced,"$5,329",7,12,3,573,3,17,13,11,1,9,79,1,2,15717
34,thirteenth,Travel Rarely,Research & Dev.,Manufacturing Director,Level 2,Low,0 to 5,0 to 5,Experienced,1 to 5,Medical,Male,Very Close,No,Balanced,"$4,325",1,15,2,1153,3,5,5,2,1,3,94,3,2,17736
56,fifteenth,Travel Rarely,Research & Dev.,Manufacturing Director,Level 3,High,6 to 10,0 to 5,Expert,5 to 10,Life Sciences,Male,Very Close,No,Not Balanced,"$7,260",4,11,3,1400,3,37,6,4,0,2,49,1,3,21698
23,twenteth,Travel Rarely,Sales,Sales Representative,Level 1,Miduem,0 to 5,0 to 5,Intermediate,1 to 5,Technical Degree,Male,Very Close,No,Balanced,"$2,322",3,13,3,541,3,3,0,0,0,0,62,3,1,9518
51,fifteenth,Travel Rarely,Research & Dev.,Laboratory Technician,Level 1,High,0 to 5,0 to 5,Advanced,1 to 5,Life Sciences,Male,Very Close,No,Balanced,"$2,075",3,23,4,432,4,10,4,2,0,3,96,3,1,18725
30,thirteenth,Travel Rarely,Research & Dev.,Healthcare Representative,Level 2,Miduem,11 to 20,6 to 10,Advanced,1 to 5,Life Sciences,Male,Very Close,No,Balanced,"$4,152",1,19,3,288,3,11,11,10,10,8,99,2,2,15830
46,fourteenth,Travel Rarely,Sales,Sales Executive,Level 3,Miduem,6 to 10,6 to 10,Experienced,5 to 10,Medical,Male,Very Close,No,Balanced,"$9,619",1,16,3,669,3,9,9,8,4,7,64,2,3,13596
40,fourteenth,Travel Frequently,Research & Dev.,Healthcare Representative,Level 4,Miduem,21 to 30,11 to 20,Expert,10 to 15,Life Sciences,Male,Very Close,No,Not Balanced,"$13,503",1,22,3,530,4,22,22,3,11,11,78,2,4,14115
51,fifteenth,Travel Rarely,Sales,Sales Executive,Level 2,Miduem,6 to 10,0 to 5,Advanced,5 to 10,Marketing,Male,Far,Yes,Not Balanced,"$5,441",0,22,2,632,4,11,10,7,1,0,71,3,2,8423
30,thirteenth,Travel Rarely,Sales,Sales Executive,Level 2,Miduem,11 to 20,6 to 10,Advanced,5 to 10,Medical,Female,Very Close,Yes,Not Balanced,"$5,209",1,12,4,1334,3,11,11,8,2,7,63,2,2,19760
46,fourteenth,Travel Frequently,Research & Dev.,Healthcare Representative,Level 3,Miduem,6 to 10,0 to 5,Expert,10 to 15,Medical,Male,Very Close,Yes,Not Balanced,"$10,673",2,13,5,638,3,21,10,9,9,5,40,2,3,3142
32,thirteenth,Travel Rarely,Sales,Sales Executive,Level 2,Miduem,11 to 20,6 to 10,Advanced,5 to 10,Medical,Male,Very Close,No,Balanced,"$5,010",1,16,0,1093,3,12,11,8,5,7,87,3,2,24301
54,fifteenth,Travel Rarely,Research & Dev.,Research Director,Level 3,Low,0 to 5,0 to 5,Advanced,10 to 15,Technical Degree,Female,Very Close,No,Not Balanced,"$13,549",9,12,5,1217,3,16,4,3,0,3,60,3,3,24001
24,twenteth,Travel Rarely,Sales,Sales Executive,Level 2,Low,0 to 5,0 to 5,Intermediate,1 to 5,Other,Female,Very Close,No,Not Balanced,"$4,999",0,21,2,1353,4,4,3,2,0,2,33,3,2,17519
28,twenteth,Non-Travel,Sales,Sales Executive,Level 2,Miduem,0 to 5,0 to 5,Experienced,1 to 5,Medical,Male,Very Close,No,Balanced,"$4,221",1,15,3,120,3,5,5,4,0,4,43,3,2,8863
58,fifteenth,Travel Rarely,Sales,Sales Executive,Level 4,High,31 to 40,6 to 10,Expert,10 to 15,Medical,Male,Very Close,No,Not Balanced,"$13,872",0,13,1,682,3,38,37,10,1,8,37,3,4,24409
44,fourteenth,Non-Travel,Research & Dev.,Laboratory Technician,Level 2,Miduem,0 to 5,0 to 5,Advanced,1 to 5,Medical,Male,Far,No,Balanced,"$2,042",4,12,3,489,3,17,3,2,1,2,67,3,2,25043
37,thirteenth,Travel Rarely,HR,Human Resources,Level 1,Miduem,0 to 5,0 to 5,Experienced,1 to 5,Human Resources,Male,Very Close,Yes,Balanced,"$2,073",4,22,3,807,4,7,3,2,0,2,63,3,1,23648
32,thirteenth,Travel Rarely,Research & Dev.,Research Scientist,Level 1,High,0 to 5,0 to 5,Entry,1 to 5,Life Sciences,Male,Very Close,No,Balanced,"$2,956",1,13,2,827,3,1,1,0,0,0,71,3,1,15178
20,twenteth,Travel Frequently,Research & Dev.,Laboratory Technician,Level 1,High,0 to 5,0 to 5,Entry,1 to 5,Life Sciences,Female,Very Close,Yes,Balanced,"$2,926",1,18,5,871,3,1,1,0,1,0,66,2,1,19783
34,thirteenth,Travel Rarely,Research & Dev.,Research Scientist,Level 2,Low,11 to 20,6 to 10,Advanced,1 to 5,Other,Female,Very Close,No,Balanced,"$4,809",1,14,3,665,3,16,16,13,2,10,41,3,2,12482
37,thirteenth,Non-Travel,Research & Dev.,Healthcare Representative,Level 2,Miduem,0 to 5,0 to 5,Advanced,5 to 10,Life Sciences,Male,Very Close,No,Balanced,"$5,163",5,14,2,1040,3,17,1,0,0,0,100,2,2,15850
59,fifteenth,Non-Travel,HR,Manager,Level 5,Miduem,0 to 5,0 to 5,Expert,15 to 20,Human Resources,Female,Very Close,No,Balanced,"$18,844",9,21,3,1420,4,30,3,2,2,2,32,2,5,21922
50,fifteenth,Travel Frequently,Research & Dev.,Research Director,Level 5,Low,6 to 10,6 to 10,Expert,15 to 20,Life Sciences,Female,Very Close,Yes,Not Balanced,"$18,172",3,19,1,1115,3,28,8,3,0,7,73,3,5,9755
25,twenteth,Travel Rarely,Sales,Sales Executive,Level 2,Miduem,6 to 10,0 to 5,Experienced,5 to 10,Marketing,Male,Very Close,Yes,Balanced,"$5,744",1,11,1,240,3,6,6,4,0,3,46,2,2,26959
25,twenteth,Travel Rarely,Research & Dev.,Research Scientist,Level 1,High,0 to 5,0 to 5,Intermediate,1 to 5,Medical,Male,Very Close,No,Balanced,"$2,889",1,11,2,1280,3,2,2,2,2,1,64,2,1,26897
22,twenteth,Travel Rarely,Research & Dev.,Laboratory Technician,Level 1,Miduem,0 to 5,0 to 5,Entry,1 to 5,Medical,Female,Close,No,Balanced,"$2,871",1,15,5,534,3,1,0,0,0,0,59,3,1,23785
51,fifteenth,Travel Frequently,Research & Dev.,Healthcare Representative,Level 3,Low,11 to 20,6 to 10,Expert,5 to 10,Medical,Female,Very Close,No,Not Balanced,"$7,484",3,20,1,1456,4,23,13,12,12,8,30,2,3,25796
34,thirteenth,Travel Frequently,Research & Dev.,Laboratory Technician,Level 2,Low,6 to 10,6 to 10,Experienced,5 to 10,Life Sciences,Male,Very Close,Yes,Balanced,"$6,074",1,24,3,658,4,9,9,7,0,6,66,1,2,22887
54,fifteenth,Non-Travel,HR,Manager,Level 4,High,0 to 5,0 to 5,Expert,15 to 20,Human Resources,Female,Far,Yes,Balanced,"$17,328",2,12,3,142,3,23,5,3,4,4,30,4,4,13871
24,twenteth,Travel Rarely,Research & Dev.,Laboratory Technician,Level 1,Miduem,0 to 5,0 to 5,Experienced,1 to 5,Life Sciences,Male,Close,No,Balanced,"$2,774",0,12,2,1127,3,6,5,3,1,2,52,3,1,13257
